measnum,mpdsector,projsym,varname,descrip,units,method,intervention,paneldesc,datatype,sextested,nstrainstested,ageweeks
43552,css,Chesler3,distance10_OFT,"distance traveled, 10 min test",cm,"open field test",,"CC pre w/par",,both,198,7-15wks
43553,css,Chesler3,transitions_OFT,"number of transitions between center and periphery, 10 min test",n,"open field test",,"CC pre w/par",,both,197,7-15wks
43554,css,Chesler3,center1_OFT,"time spent in center during first minute, 10 min test",s,"open field test",,"CC pre w/par",,both,198,7-15wks
43555,css,Chesler3,center10_OFT,"time spent in center, 10 min test",s,"open field test",,"CC pre w/par",,both,198,7-15wks
43556,css,Chesler3,distance_center_OFT,"integrated distance from absolute center, 10 min test",cm,"open field test",,"CC pre w/par",,both,196,7-15wks
43557,css,Chesler3,pct_center_OFT,"percentage of time in center, 10 min test",%,"open field test",,"CC pre w/par",,both,198,7-15wks
43558,css,Chesler3,latency_periphery_OFT,"latency to reach periphery, 10 min test",s,"open field test",,"CC pre w/par",,both,197,7-15wks
43559,css,Chesler3,duration_periphery_OFT,"time spent in periphery, 10 min test",s,"open field test",,"CC pre w/par",,both,198,7-15wks
43560,css,Chesler3,immobile_OFT,"time spent immobile during first minute, 10 min test",s,"open field test",,"CC pre w/par",,both,196,7-15wks
43561,css,Chesler3,fecal_boli_OFT,"number of fecal boli, 10 min test",n,"open field test",,"CC pre w/par",,both,184,7-15wks
43562,css,Chesler3,urination_OFT,"number of urine puddles, 10 min test",n,"open field test",,"CC pre w/par",,both,184,7-15wks
43563,css,Chesler3,duration_light_LD,"time spent in light compartment, 10 min test",s,"light-dark box",,"CC pre w/par",,both,152,7-15wks
43564,css,Chesler3,distance_light_LD,"distance traveled in light compartment, 10 min test",cm,"light-dark box",,"CC pre w/par",,both,152,7-15wks
43565,css,Chesler3,pct_light_LD,"percentage of time in light compartment, 10 min test",%,"light-dark box",,"CC pre w/par",,both,154,7-15wks
43566,css,Chesler3,latency_dark_LD,"latency to enter dark compartment, 10 min test",s,"light-dark box",,"CC pre w/par",,both,156,7-15wks
43567,css,Chesler3,transitions_LD,"number of transitions between light and dark compartments, 10 min test",n,"light-dark box",,"CC pre w/par",,both,154,7-15wks
43568,css,Chesler3,fecal_boli_LD,"number of fecal boli, 10 min test",n,"light-dark box",,"CC pre w/par",,both,150,7-15wks
43569,css,Chesler3,urination_LD,"number of urine puddles, 10 min test",n,"light-dark box",,"CC pre w/par",,both,149,7-15wks
43570,css,Chesler3,capture_score,"response to capture",score,"behavior observation",,"CC pre w/par",,both,324,7-15wks
43571,css,Chesler3,hold_score,"response to holding",score,"behavior observation",,"CC pre w/par",,both,324,7-15wks
43572,css,Chesler3,wildness_score,"capture and hold scores combined",score,"behavior observation",,"CC pre w/par",,both,324,7-15wks
43573,css,Chesler3,tail_clip,"latency of nociceptive response to pressure on the tail, 60 s test",s,"nociception assay",,"CC pre w/par",,both,294,7-15wks
43574,css,Chesler3,hot_plate,"latency of nociceptive response to hot plate (54&deg;C), 30 s test",s,"nociception assay",,"CC pre w/par",,both,292,7-15wks
43581,css,Chesler3,pct_sleep_daily,"percentage of time sleeping, baseline, total",%,"monitoring system",,"CC pre w/par",,both,260,7-15wks
43582,css,Chesler3,pct_sleep_dark,"percentage of time sleeping, baseline, dark period",%,"monitoring system",,"CC pre w/par",,both,301,7-15wks
43583,css,Chesler3,pct_daily_deprivation,"percentage of time sleeping, after sleep deprivation, total",%,"monitoring system",,"CC pre w/par",,both,255,7-15wks
43584,css,Chesler3,pct_dark_deprivation,"percentage of time sleeping, after sleep deprivation, dark period",%,"monitoring system",,"CC pre w/par",,both,301,7-15wks
43585,css,Chesler3,act_dark_deprivation,"percentage of time sleeping, after sleep deprivation, peak activity",%,"monitoring system",,"CC pre w/par",,both,301,7-15wks
43586,css,Chesler3,body_weight,"body weight",g,"body size and weight",,"CC pre w/par",,both,335,7-15wks
43587,css,Chesler3,body_length,"body length",cm,"body size and weight",,"CC pre w/par",,both,252,7-15wks
43588,css,Chesler3,tail_length,"tail length",cm,"body size and weight",,"CC pre w/par",,both,324,7-15wks
43589,css,Chesler3,gonad_fat_wt,"gonadal fat pad weight",g,"fat pad weights",,"CC pre w/par",,both,321,7-15wks
43590,css,Chesler3,bone_circumference,"periosteal (outer) circumference, femoral mid-diaphysis",mm,"bone dimensions",,"CC pre w/par",,both,199,7-15wks
43591,css,Chesler3,brain_wt,"brain weight",g,"organ weights",,"CC pre w/par",,both,149,7-15wks
43592,css,Chesler3,heart_wt,"heart weight",g,"organ weights",,"CC pre w/par",,both,324,7-15wks
43593,css,Chesler3,kidneyL_length,"kidney length, left",cm,"organ dimensions",,"CC pre w/par",,both,113,7-15wks
43594,css,Chesler3,kidneyR_length,"kidney length, right",cm,"organ dimensions",,"CC pre w/par",,both,124,7-15wks
43595,css,Chesler3,kidney_vol,"kidney volume",cm<sup>3</sup>,"organ dimensions",,"CC pre w/par",,both,69,7-15wks
43596,css,Chesler3,kidneyL_wt,"kidney weight, left",g,"organ weights",,"CC pre w/par",,both,323,7-15wks
43597,css,Chesler3,kidneyR_wt,"kidney weight, right",g,"organ weights",,"CC pre w/par",,both,274,7-15wks
43598,css,Chesler3,kidney_both_wt,"kidney weight, both",g,"organ weights",,"CC pre w/par",,both,274,7-15wks
43599,css,Chesler3,spleen_wt,"spleen weight",g,"organ weights",,"CC pre w/par",,both,228,7-15wks
43901,css,CGDpheno3,GLU,"glucose (plasma GLU, 4h fast)",mg/dL,"metabolic panel",,"CC diallel w/par",,both,62,8wks
43902,css,CGDpheno3,CHOL,"total cholesterol (plasma CHOL)",mg/dL,"lipid profile",,"CC diallel w/par",,both,62,8wks
43903,css,CGDpheno3,HDL,"HDL cholesterol (plasma HDL)",mg/dL,"lipid profile",,"CC diallel w/par",,both,62,8wks
43904,css,CGDpheno3,TG,"triglycerides (plasma TG, 4h fast)",mg/dL,"lipid profile",,"CC diallel w/par",,both,62,8wks
43905,css,CGDpheno3,RBC,"red blood cell count (RBC; per volume x 10<sup>6</sup>)",n/&micro;L,"complete blood count",,"CC diallel w/par",,both,62,7wks
43906,css,CGDpheno3,WBC,"white blood cell count (WBC; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC diallel w/par",,both,62,7wks
43907,css,CGDpheno3,pctLYMP,"lymphocyte differential (LYM; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43908,css,CGDpheno3,pctNEUT,"neutrophil differential (NEUT; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43909,css,CGDpheno3,pctMONO,"monocyte differential (MONO; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43910,css,CGDpheno3,pctBASO,"basophil differential (BASO; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43911,css,CGDpheno3,pctEOS,"eosinophil differential (EOS; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43912,css,CGDpheno3,pctLUC,"large unstained cells (LUC; percentage of total WBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43913,css,CGDpheno3,pctRetic,"reticulocyte differential (Retic; percentage of total RBC)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43914,css,CGDpheno3,RDW,"RBC corpuscular distribution width (RDW)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43915,css,CGDpheno3,MCV,"mean RBC corpuscular volume (MCV)",fL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43916,css,CGDpheno3,MCH,"mean RBC corpuscular hemoglobin conent (MCH)",pg,"complete blood count",,"CC diallel w/par",,both,62,7wks
43917,css,CGDpheno3,MCHC,"mean RBC corpuscular hemoglobin concentration (MCHC)",g/dL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43918,css,CGDpheno3,CHCM,"RBC corpuscular hemoglobin concentration mean (CHCM)",g/dL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43919,css,CGDpheno3,HDW,"hemoglobin concentration distribution width (HDW)",g/dL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43920,css,CGDpheno3,mHGB,"measured hemoglobin (HGB)",g/dL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43921,css,CGDpheno3,cHGB,"calculated hemoglobin (HGB)",g/dL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43922,css,CGDpheno3,HCT,"hematocrit (HCT)",%,"complete blood count",,"CC diallel w/par",,both,62,7wks
43923,css,CGDpheno3,PLT,"platelet count (PLT; units per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC diallel w/par",,both,62,7wks
43924,css,CGDpheno3,MPV,"mean platelet volume (MPV)",fL,"complete blood count",,"CC diallel w/par",,both,62,7wks
43925,css,CGDpheno3,systolic_BP,"systolic blood pressure",mmHg,"tail cuff",,"CC diallel w/par",,both,24,10wks
43926,css,CGDpheno3,pulse,"pulse rate",n/min,"tail cuff",,"CC diallel w/par",,both,24,10wks
43927,css,CGDpheno3,HR,"heart rate",n/min,ECG,,"CC diallel w/par",,both,42,12wks
43928,css,CGDpheno3,CV,"coefficient of variance, heart rate",%,ECG,,"CC diallel w/par",,both,42,12wks
43929,css,CGDpheno3,R_amplitude,"R-wave amplitude",mV,ECG,,"CC diallel w/par",,both,42,12wks
43930,css,CGDpheno3,RS_amplitude,"R plus S-wave amplitude",mV,ECG,,"CC diallel w/par",,both,42,12wks
43931,css,CGDpheno3,RR,"interval between R-waves (RR)",ms,ECG,,"CC diallel w/par",,both,42,12wks
43932,css,CGDpheno3,PQ,"interval between peak of P-wave to Q-wave (PQ)",ms,ECG,,"CC diallel w/par",,both,42,12wks
43933,css,CGDpheno3,PR,"interval between peak of P-wave to R-wave (PR)",ms,ECG,,"CC diallel w/par",,both,42,12wks
43934,css,CGDpheno3,QRS,"interval between beginning and end of QRS complex",ms,ECG,,"CC diallel w/par",,both,42,12wks
43935,css,CGDpheno3,QT,"interval between peak of Q-wave to end of T-wave (QT)",ms,ECG,,"CC diallel w/par",,both,42,12wks
43936,css,CGDpheno3,QTc,"rate-corrected QT interval",ms,ECG,,"CC diallel w/par",,both,42,12wks
43937,css,CGDpheno3,QT_dispersion,"difference between smallest and largest QT interval",ms,ECG,,"CC diallel w/par",,both,42,12wks
43938,css,CGDpheno3,QTc_dispersion,"difference between smallest and largest rate-corrected QT interval",ms,ECG,,"CC diallel w/par",,both,42,12wks
43939,css,CGDpheno3,ST,"interval between S-wave and end of T-wave (ST)",ms,ECG,,"CC diallel w/par",,both,42,12wks
43940,css,CGDpheno3,BMD,"whole body bone mineral density (BMD)",g/cm<sup>2</sup>,DXA,,"CC diallel w/par",,both,61,16wks
43941,css,CGDpheno3,BMC,"whole body bone mineral content (BMC)",g,DXA,,"CC diallel w/par",,both,61,16wks
43942,css,CGDpheno3,bone_area,"whole body bone area, head excluded",cm<sup>2</sup>,DXA,,"CC diallel w/par",,both,61,16wks
43943,css,CGDpheno3,total_area,"total body area without head",cm<sup>2</sup>,DXA,,"CC diallel w/par",,both,61,16wks
43944,css,CGDpheno3,LTM,"weight of lean tissue mass, head excluded",g,DXA,,"CC diallel w/par",,both,61,16wks
43945,css,CGDpheno3,pct_fat,"percent fat, head excluded",%,DXA,,"CC diallel w/par",,both,61,16wks
43946,css,CGDpheno3,TTM,"total tissue mass, head excluded",g,DXA,,"CC diallel w/par",,both,61,16wks
43947,css,CGDpheno3,bw,"body weight",g,"body weight",,"CC diallel w/par",,both,61,16wks
44001,css,Spijker2,lat_expl_novel_HC,"latency to explore novel object in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44002,css,Spijker2,lat_expl_food_HC,"latency to explore novel object with food in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44003,css,Spijker2,lat_food_familiar_HC,"latency to eat food from familiar object in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44004,css,Spijker2,lat_food_novel_HC,"latency to eat food from novel object in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44005,css,Spijker2,dur_expl_novel_HC,"duration exploring novel object in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44006,css,Spijker2,dur_expl_food_HC,"duration exploring novel object with food in home cage, 4 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44007,css,Spijker2,lat_expl_familiar_NC,"latency to explore familiar object with food in novel cage, 12 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44008,css,Spijker2,lat_food_familiar_NC,"latency to eat food from familiar object in novel cage, 12 min test",s,"home cage monitoring",,inbred,,m,12,6wks
44009,css,Spijker2,dist_OFT,"total distance traveled, 10 min test",m,"open field test",,inbred,,m,12,6wks
44010,css,Spijker2,num_stops_OFT,"number of stops per distance, 10 min test",n,"open field test",,inbred,,m,12,6wks
44011,css,Spijker2,acceleration_OFT,"acceleration, 10 min test",cm/s<sup>2</sup>,"open field test",,inbred,,m,12,6wks
44012,css,Spijker2,dist_progress_OFT,"distance traveled per progression, 10 min test",cm,"open field test",,inbred,,m,12,6wks
44013,css,Spijker2,num_progress_OFT,"number of progressions, 10 min test",n,"open field test",,inbred,,m,12,6wks
44014,css,Spijker2,dur_progress_OFT,"duration of progression, 10 min test",s,"open field test",,inbred,,m,12,6wks
44015,css,Spijker2,dur_linger_OFT,"duration of lingering episode, 10 min test",s,"open field test",,inbred,,m,12,6wks
44016,css,Spijker2,dur_center_OFT,"duration in center, 10 min test",s,"open field test",,inbred,,m,12,6wks
44017,css,Spijker2,entry_center_OFT,"entries into center, 10 min test",n,"open field test",,inbred,,m,12,6wks
44018,css,Spijker2,dur_light_LD,"duration in light compartment, 5 min test",s,"light-dark box",,inbred,,m,12,6wks
44019,css,Spijker2,entry_light_LD,"entries into light compartment, 5 min test",n,"light-dark box",,inbred,,m,12,6wks
44020,css,Spijker2,lat_light_LD,"latency to enter light compartment, 5 min test",s,"light-dark box",,inbred,,m,12,6wks
44021,css,Spijker2,dist_EPM,"total distance traveled, 5 min test",m,"elevated plus maze",,inbred,,m,12,6wks
44022,css,Spijker2,entry_center_EPM,"entries into center, 5 min test",n,"elevated plus maze",,inbred,,m,12,6wks
44023,css,Spijker2,lat_center_EPM,"latency to enter center, 5 min test",s,"elevated plus maze",,inbred,,m,12,6wks
44024,css,Spijker2,dur_open_EPM,"duration in open arms, 5 min test",s,"elevated plus maze",,inbred,,m,12,6wks
44025,css,Spijker2,entry_open_EPM,"entries into open arms, 5 min test",n,"elevated plus maze",,inbred,,m,12,6wks
44026,css,Spijker2,entry_closed_EPM,"entries into closed arms, 5 min test",n,"elevated plus maze",,inbred,,m,12,6wks
44027,css,Spijker2,magazine_resp,"anticipatory magazine response, 25 min test",n,"choice serial reaction time task",,inbred,,m,12,6wks
44028,css,Spijker2,lat_food,"latency to collect food from magazine, 25 min test",s,"choice serial reaction time task",,inbred,,m,12,6wks
44029,css,Spijker2,impulsivity,"impulsivity, 25 min test",%,"choice serial reaction time task",,inbred,,m,12,6wks
44101,css,Harrill2,bw_start_ctrl,"body weight at start of testing, control",g,"body weight",DB289,inbred,,f,34,6-8wks
44102,css,Harrill2,bw_start_trt,"body weight at start of testing, DB289",g,"body weight",DB289,inbred,,f,34,6-8wks
44103,css,Harrill2,bw_end_ctrl,"body weight at end of testing, control",g,"body weight",DB289,inbred,,f,34,6-8wks
44104,css,Harrill2,bw_end_trt,"body weight at end of testing, DB289",g,"body weight",DB289,inbred,,f,34,6-8wks
44105,css,Harrill2,bw_change_ctrl,"fold change in body weight over testing period, control",ratio,"body weight",DB289,inbred,,f,34,6-8wks
44106,css,Harrill2,bw_change_trt,"fold change in body weight over testing period, DB289",ratio,"body weight",DB289,inbred,,f,34,6-8wks
44111,css,Harrill2,ALT_ctrl,"alanine transaminase (serum ALT), control",IU/L,"metabolic panel",DB289,inbred,,f,34,6-8wks
44112,css,Harrill2,ALT_trt,"alanine transaminase (serum ALT), DB289",IU/L,"metabolic panel",DB289,inbred,,f,34,6-8wks
44115,css,Harrill2,BUN_ctrl,"blood urea nitrogen (serum BUN), control",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44116,css,Harrill2,BUN_trt,"blood urea nitrogen (serum BUN), DB289",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44121,css,Harrill2,serum_CREA_ctrl,"creatinine (serum CREA), control",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44122,css,Harrill2,serum_CREA_trt,"creatinine (serum CREA), DB289",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44125,css,Harrill2,urine_vol_ctrl,"urine volume, control",mL,urinalysis,DB289,inbred,,f,33,6-8wks
44126,css,Harrill2,urine_vol_trt,"urine volume, DB289",mL,urinalysis,DB289,inbred,,f,33,6-8wks
44131,css,Harrill2,urine_CREA_ctrl,"creatinine (urine CREA), control",mg/mL,urinalysis,DB289,inbred,,f,31,6-8wks
44132,css,Harrill2,urine_CREA_trt,"creatinine (urine CREA), DB289",mg/mL,urinalysis,DB289,inbred,,f,31,6-8wks
44135,css,Harrill2,urine_KIM1_ctrl,"urine kidney injury molecule 1 (KIM-1), control",pg,"biomarker quantification",DB289,inbred,,f,32,6-8wks
44136,css,Harrill2,urine_KIM1_trt,"urine kidney injury molecule 1 (KIM-1), DB289",pg,"biomarker quantification",DB289,inbred,,f,32,6-8wks
44141,css,Harrill2,Lt_kidney_ctrl,"kidney (left) weight, control",g,"organ weights",DB289,inbred,,f,34,6-8wks
44142,css,Harrill2,Lt_kidney_trt,"kidney (left) weight, DB289",g,"organ weights",DB289,inbred,,f,34,6-8wks
44144,css,Harrill2,Rt_kidney_ctrl,"kidney (right) weight, control",g,"organ weights",DB289,inbred,,f,34,6-8wks
44145,css,Harrill2,Rt_kidney_trt,"kidney (right) weight, DB289",g,"organ weights",DB289,inbred,,f,34,6-8wks
44148,css,Harrill2,both_kidney_ctrl,"kidney (both) weight, control",g,"organ weights",DB289,inbred,,f,34,6-8wks
44149,css,Harrill2,both_kidney_trt,"kidney (both) weight, DB289",g,"organ weights",DB289,inbred,,f,34,6-8wks
44151,css,Harrill2,pctKW_BW_ctrl,"total kidney weight as percentage of body weight, control",%,"organ weights",DB289,inbred,,f,34,6-8wks
44152,css,Harrill2,pctKW_BW_trt,"total kidney weight as percentage of body weight, DB289",%,"organ weights",DB289,inbred,,f,34,6-8wks
44155,css,Harrill2,kidney_DB75_ctrl,"kidney metabolite (DB75) concentration, control",&micro;M,"drug and metabolite quantification",DB289,inbred,,f,23,6-8wks
44156,css,Harrill2,kidney_DB75_trt,"kidney metabolite (DB75) concentration, DB289",&micro;M,"drug and metabolite quantification",DB289,inbred,,f,34,6-8wks
44161,css,Harrill2,LW_ctrl,"liver weight at sacrifice, control",g,"organ weights",DB289,inbred,,f,34,6-8wks
44162,css,Harrill2,LW_trt,"liver weight at sacrifice, DB289",g,"organ weights",DB289,inbred,,f,34,6-8wks
44165,css,Harrill2,pctLW_BW_ctrl,"liver weight as percentage of body weight, control",%,"organ weights",DB289,inbred,,f,34,6-8wks
44166,css,Harrill2,pctLW_BW_trt,"liver weight as percentage of body weight, DB289",%,"organ weights",DB289,inbred,,f,34,6-8wks
44205,css,Harrill2,bw_change_fold,"fold change in body weight over testing period, difference",ratio,"body weight",DB289,inbred,,f,34,6-8wks
44211,css,Harrill2,ALT_fold,"alanine transaminase (serum ALT), difference",IU/L,"metabolic panel",DB289,inbred,,f,34,6-8wks
44215,css,Harrill2,BUN_fold,"blood urea nitrogen (serum BUN), difference",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44221,css,Harrill2,serum_CREA_fold,"creatinine (serum CREA), difference",mg/dL,"metabolic panel",DB289,inbred,,f,34,6-8wks
44225,css,Harrill2,urine_vol_fold,"urine volume, difference",mL,urinalysis,DB289,inbred,,f,33,6-8wks
44231,css,Harrill2,urine_CREA_fold,"creatinine (urine CREA), difference",mg/mL,urinalysis,DB289,inbred,,f,31,6-8wks
44235,css,Harrill2,urine_KIM1_fold,"urine kidney injury molecule 1 (KIM-1), difference",pg,"biomarker quantification",DB289,inbred,,f,31,6-8wks
44251,css,Harrill2,pctKW_BW_fold,"total kidney weight as percentage of body weight, difference",%,"organ weights",DB289,inbred,,f,34,6-8wks
44265,css,Harrill2,pctLW_BW_fold,"liver weight as percentage of body weight, difference",%,"organ weights",DB289,inbred,,f,34,6-8wks
44301,css,Donahue17,litter_interval,"mean litter interval",wks,"colony observation",,BXD,,f,30,3-57wks
44302,css,Donahue17,litter_size_birth,"mean number of pups born",n,"colony observation",,BXD,,f,30,3-57wks
44303,css,Donahue17,litter_size_wean,"mean number of pups weaned",n,"colony observation",,BXD,,f,30,3-57wks
44304,css,Donahue17,ratio_wean_born,"ratio of pups weaned to pups born",ratio,"colony observation",,BXD,,f,30,3-57wks
44305,css,Donahue17,fecundity_index,"mean litter size divided by mean litter interval",n/wks,"colony observation",,BXD,,f,30,3-57wks
44306,css,Donahue17,pct_Fwean,"percent females at weaning",%,"colony observation",,BXD,,f,30,3-57wks
44401,css,Donahue18,pregnancy_load,"percent increase in maternal body weight during pregnancy to E14.5 days",%,"body weight",,inbred,,f,15,6-8wks
44402,css,Donahue18,gestation,"gestation duration",h,"monitoring system",,inbred,,f,15,6-8wks
44403,css,Donahue18,total_born,"number of pups born per litter",n,"colony observation",,inbred,,f,15,6-8wks
44404,css,Donahue18,pup_survival,"percentage of pups that survived to day 3",%,"colony observation",,inbred,,f,15,6-8wks
44405,css,Donahue18,pup_wt_d3,"pup body weight at day 3",g,"body weight",,inbred,,f,15,6-8wks
44501,css,Donahue19,pregnancy_load,"percent increase in maternal body weight during pregnancy to E14.5 days",%,"body weight",,"B6.A consomic w/par",,f,22,6-8wks
44502,css,Donahue19,gestation,"gestation duration",h,"monitoring system",,"B6.A consomic w/par",,f,22,6-8wks
44503,css,Donahue19,total_born,"number of pups born per litter",n,"colony observation",,"B6.A consomic w/par",,f,22,6-8wks
44504,css,Donahue19,pup_survival,"percentage of pups that survived to day 3",%,"colony observation",,"B6.A consomic w/par",,f,22,6-8wks
44505,css,Donahue19,pup_wt_d3,"pup body weight at day 3",g,"body weight",,"B6.A consomic w/par",,f,22,6-8wks
44601,css,HMDPpheno1,BMD_body,"whole body bone mineral density (BMD; skull, lumbar spine, left femur excluded)",g/cm<sup>2</sup>,DXA,,"HMDP w/par",,m,96,16wks
44602,css,HMDPpheno1,BMD_femur,"bone mineral density (BMD) of left femur",g/cm<sup>2</sup>,DXA,,"HMDP w/par",,m,96,16wks
44603,css,HMDPpheno1,BMD_spine,"bone mineral density (BMD) of lumbar spine",g/cm<sup>2</sup>,DXA,,"HMDP w/par",,m,96,16wks
45001,css,Marchuk1,infarct_vol,"infarct volume following surgically-induced focal cerebral ischemia",mm<sup>3</sup>,histopathology,,inbred,,both,16,11-13wks
45101,css,Collins1,RBC,"red blood cell count (RBC; per volume x 10<sup>6</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45102,css,Collins1,WBC,"white blood cell count (WBC; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45103,css,Collins1,LYM,"lymphocyte count (LYM; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45104,css,Collins1,LYM_pct,"lymphocyte differential (LYM; percentage of total WBC)",%,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45105,css,Collins1,NEUT,"neutrophil count (NEUT; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45106,css,Collins1,NEUT_pct,"neutrophil differential (NEUT; percentage of total WBC)",%,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45107,css,Collins1,MONO,"monocyte count (MONO; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45108,css,Collins1,MONO_pct,"monocyte differential (MONO; percentage of total WBC)",%,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45109,css,Collins1,EOS,"eosinophil count (EOS; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45110,css,Collins1,EOS_pct,"eosinophil differential (EOS; percentage of total WBC)",%,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45111,css,Collins1,BASO,"basophil count (BASO; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45112,css,Collins1,BASO_pct,"basophil differential (BASO; percentage of total WBC)",%,"complete blood count",,"CC pre w/par",,m,138,10-14wks
45113,css,Collins1,RDW,"RBC corpuscular distribution width (RDW)",%,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45114,css,Collins1,MCV,"mean RBC corpuscular volume (MCV)",fL,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45115,css,Collins1,HGB,"hemoglobin (HGB)",g/dL,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45116,css,Collins1,PLT,"platelet count (PLT; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45117,css,Collins1,MPV,"mean platelet volume (MPV)",fL,"complete blood count",,"CC pre w/par",,m,139,10-14wks
45201,css,Mathes1,bw_pre,"body weight, before exercise",g,"body weight",exercise,"CC pre w/par",,m,184,10-12wks
45202,css,Mathes1,bw_post,"body weight, after exercise",g,"body weight",exercise,"CC pre w/par",,m,184,10-12wks
45203,css,Mathes1,bw_change,"body weight, difference",g,"body weight",exercise,"CC pre w/par",,m,184,10-12wks
45204,css,Mathes1,pct_fat_pre,"percent fat, whole body with head, before exercise",%,MRI,exercise,"CC pre w/par",,m,184,10-12wks
45205,css,Mathes1,pct_fat_post,"percent fat, whole body with head, after exercise",%,MRI,exercise,"CC pre w/par",,m,184,10-12wks
45206,css,Mathes1,pct_fat_change,"percent fat, whole body with head, difference",%,MRI,exercise,"CC pre w/par",,m,184,10-12wks
45207,css,Mathes1,calories_pre,"caloric intake, before exercise",kcal/d,"intake monitoring",exercise,"CC pre w/par",,m,182,10-12wks
45208,css,Mathes1,calories_post,"caloric intake, during exercise",kcal/d,"intake monitoring",exercise,"CC pre w/par",,m,183,10-12wks
45209,css,Mathes1,RER_pre,"nocturnal respiratory exchange ratio (RER) prior to wheel running (VCO2:VO2)",ratio,"monitoring system",,"CC pre w/par",,m,138,10-12wks
45210,css,Mathes1,run_dist1,"distance traveled on wheel, day 1",m/d,"running wheel monitoring",,"CC pre w/par",,m,184,10-12wks
45211,css,Mathes1,run_dist6,"distance traveled on wheel, day 6",m/d,"running wheel monitoring",,"CC pre w/par",,m,184,10-12wks
45212,css,Mathes1,run_dist12,"distance traveled on wheel, day 12",m/d,"running wheel monitoring",,"CC pre w/par",,m,183,10-12wks
45213,css,Mathes1,run_speed1,"speed on wheel, day 1",m/min,"running wheel monitoring",,"CC pre w/par",,m,184,10-12wks
45214,css,Mathes1,run_speed6,"speed on wheel, day 6",m/min,"running wheel monitoring",,"CC pre w/par",,m,184,10-12wks
45215,css,Mathes1,run_speed12,"speed on wheel, day 12",m/min,"running wheel monitoring",,"CC pre w/par",,m,183,10-12wks
45301,css,HMDPpheno3,HR,"pulse rate",n/min,"tail cuff",,"HMDP w/par",,m,58,9-10wks
45302,css,HMDPpheno3,BP,"systolic blood pressure",mmHg,"tail cuff",,"HMDP w/par",,m,58,9-10wks
45901,css,Tarantino1,bw,"body weight on day 2",g,"body weight",,inbred,,m,45,8-11wks
45911,css,Tarantino1,dist_ctrl,"distance traveled, 30 min test, baseline (day 2)",cm,"open field test",cocaine,inbred,,m,45,8-11wks
